咪咕V4,#genre#
CCTV1综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv1
CCTV2财经,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv2
CCTV3综艺,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv3
CCTV4中文国际,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4
CCTV4美洲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4a
CCTV4欧洲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv4o
CCTV5体育,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv5
CCTV5+体育赛事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv5p
CCTV6电影,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv6
CCTV7国防军事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv7
CCTV8电视剧,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv8
CCTV9纪录,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv9
CCTV10科教,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv10
CCTV11戏曲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv11
CCTV12社会与法,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv12
CCTV13新闻,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv13
CCTV14少儿,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv14
CCTV15音乐,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv15
CCTV17农业农村,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cctv17
CCTV发现之旅,http://dp.sxtv.top:88/盗源可耻/migu.php?id=fxzl
CCTV老故事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lgs
CCTV中学生,http://dp.sxtv.top:88/盗源可耻/migu.php?id=zxs
CGTN,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtn
CGTN纪录,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtnjl
CCTV西班牙语,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtne
CCTV法语,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtnf
CCTV阿拉伯语,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtna
CCTV俄语,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cgtnr
东方卫视x,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dfws
重庆卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cqws
吉林卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jlws
辽宁卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lnws
内蒙古卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=nmws
宁夏卫视x,http://dp.sxtv.top:88/盗源可耻/migu.php?id=nxws
甘肃卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gsws
青海卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=qhws
陕西卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=sxws
山东卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=sdws
河南卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hnws
湖北卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hubws
湖南卫视x,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hunws
江西卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jxws
江苏卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsws
东南卫视x,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dnws
海峡卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hxws
广东卫视x,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gdws
大湾区卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dwqws
广西卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gxws
云南卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ynws
贵州卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gzws
新疆卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xjws
西藏卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xzws
海南卫视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hinws
四海钓鱼,http://dp.sxtv.top:88/盗源可耻/migu.php?id=shdy
CHC动作电影,http://dp.sxtv.top:88/盗源可耻/migu.php?id=chcdzdy
CHC家庭影院,http://dp.sxtv.top:88/盗源可耻/migu.php?id=chcjtdy
东方影视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dfys
上海新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=shxwzh
上海第一财经,http://dp.sxtv.top:88/盗源可耻/migu.php?id=dycj
上视纪实人文,http://dp.sxtv.top:88/盗源可耻/migu.php?id=shjsrw
上海外语,http://dp.sxtv.top:88/盗源可耻/migu.php?id=shics
法治天地,http://dp.sxtv.top:88/盗源可耻/migu.php?id=fztd
劲爆体育,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jbty
魅力足球,http://dp.sxtv.top:88/盗源可耻/migu.php?id=mlzq
乐游,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ly
欢笑剧场,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hxjc
七彩戏剧,http://dp.sxtv.top:88/盗源可耻/migu.php?id=qcxj
游戏风云,http://dp.sxtv.top:88/盗源可耻/migu.php?id=yxfy
临洮电视台,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lttv
江苏城市,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jscs
江苏综艺,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jszy
江苏影视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsys
江苏公共新闻,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsggxw
江苏国际,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsgj
江苏教育,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsjy
江苏体育休闲,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jstyxx
优漫卡通,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ymkt
南京新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=njxwzh
南京教科,http://dp.sxtv.top:88/盗源可耻/migu.php?id=njkj
南京十八,http://dp.sxtv.top:88/盗源可耻/migu.php?id=njsb
淮安新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=haxwzh
连云港新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=lygxwzh
苏州新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=szxwzh
泰州新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=tzxwzh
宿迁新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=sqxwzh
徐州新闻综合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=xzxwzh
广东影视,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gdys
嘉佳卡通,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jjkt
24小时亚洲杯频道,http://dp.sxtv.top:88/盗源可耻/migu.php?id=24hyzb
CBA经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=cbajd
掼蛋精英赛,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gdjys
高清大片,http://dp.sxtv.top:88/盗源可耻/migu.php?id=gqdp
和平精英赛事,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hpjxss
红色轮播台,http://dp.sxtv.top:88/盗源可耻/migu.php?id=hslbt
经典动画大集合,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jddhdjh
经典深圳旁边电影,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jdxgdy
军事迷必看大片,http://dp.sxtv.top:88/盗源可耻/migu.php?id=jsdp
历届春晚回顾,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ljcwhg
咪咕24小时体育台,http://dp.sxtv.top:88/盗源可耻/migu.php?id=mg24hty
玫瑰轮播台,http://dp.sxtv.top:88/盗源可耻/migu.php?id=mglbt
NBA经典,http://dp.sxtv.top:88/盗源可耻/migu.php?id=nbajd
欧洲足球风云,http://dp.sxtv.top:88/盗源可耻/migu.php?id=ozzqfy
全民乒乓,http://dp.sxtv.top:88/盗源可耻/migu.php?id=qmpp
